,Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
49280,50296,I am a student who is learning to code,No,40.0,Younger than 5 years,,,,Taiwan,,,IBM DB2;Microsoft SQL Server;MySQL;Oracle;SQLite,,"Data or business analyst;Data scientist or machine learning specialist;Developer, front-end;Engineer, data",I never completed any formal education,"Not employed, but looking for work",South Asian,Man,Remote work options;Opportunities for professional development,,I am actively looking for a job,C#;PHP;Python;Scala;SQL,,Hadoop;Pandas,,"Github;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Confluence;Jira;Microsoft Teams,,,,,,Every few months,,,No,,Ask developers I know/work with,Amused,I have never visited any of these sites,Call a coworker or friend,Windows,,Android;AWS;Docker;iOS;Microsoft Azure,,,,,,,,Neither easy nor difficult,Too long,No,,Django;Spring,,,,Less than 1 year,
50448,51488,I am a developer by profession,Yes,,,,,,Taiwan,New Taiwan dollar,TWD,,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,,,,I am actively looking for a job,,,,,,,,,Critically important,,,,,,,,,,,,,,,,,,,,,,,,,"Computer science, computer engineering, or software engineering",,,,,,
50556,51596,I am a developer by profession,Yes,24.0,19,Yearly,65000.0,65000.0,Taiwan,United States dollar,USD,,IBM DB2;SQLite,"Developer, embedded applications or devices;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Office environment or company culture;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,Assembly;C;HTML/CSS;JavaScript;Python,C;HTML/CSS;Java;JavaScript;Python;SQL,Pandas,Pandas;TensorFlow,"Github;Gitlab;Google Suite (Docs, Meet, etc)","Confluence;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Critically important,Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Linux-based,"10,000 or more employees",Google Cloud Platform;Linux;Raspberry Pi,AWS;Kubernetes;Linux,I have little or no influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Too short,No,"Computer science, computer engineering, or software engineering",Flask,jQuery;Spring,Just as welcome now as I felt last year,45.0,6,2
51463,52529,I am a developer by profession,Yes,27.0,14,,,,Taiwan,,,PostgreSQL;Redis,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,East Asian,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Opportunities for professional development,,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C;Python;Rust;TypeScript,Assembly;Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,Keras;Torch/PyTorch,.NET;.NET Core;Keras;Node.js;TensorFlow;Torch/PyTorch,Github;Gitlab,Github;Gitlab;Slack;Microsoft Teams,,,,Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Every few months,Not sure,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,,Linux,Linux;Raspberry Pi,,,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",React.js,Flask;jQuery;React.js,Just as welcome now as I felt last year,,13,
53299,54390,I am a developer by profession,Yes,,15,Monthly,,,Taiwan,New Taiwan dollar,TWD,Firebase,Firebase,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,,Neither satisfied nor dissatisfied,I am actively looking for a job,Bash/Shell/PowerShell;C#;C++;JavaScript;Objective-C;R;TypeScript,Bash/Shell/PowerShell;C;C#;C++;Java;JavaScript,.NET;.NET Core;Node.js;React Native;TensorFlow,Node.js;React Native,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Having a bad day (or week or month) at work;Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate,,Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Windows,2 to 9 employees,Android;AWS;Linux;MacOS;Windows,Android;AWS;Windows,I have some influence,,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Angular;Angular.js;ASP.NET;ASP.NET Core;Django;Express;jQuery;React.js;Vue.js,React.js,Not applicable - I did not use Stack Overflow last year,,6,Less than 1 year
53317,54408,I am a developer by profession,Yes,26.0,17,Monthly,46000.0,18300.0,Taiwan,New Taiwan dollar,TWD,Firebase;MongoDB,Microsoft SQL Server;MySQL;PostgreSQL,"Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;Kotlin;Python;TypeScript,C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL,Flutter;Node.js;React Native;TensorFlow,.NET;.NET Core;Node.js,Jira;Github;Gitlab,Jira;Github;Gitlab,Not sure,Somewhat important,Very important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,Not sure,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,100 to 499 employees,Android;Docker;Heroku,Android;Microsoft Azure,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;React.js;Vue.js,ASP.NET;Express;jQuery;React.js;Vue.js,Somewhat more welcome now than last year,40.0,8,3
53322,54413,I am a student who is learning to code,Yes,18.0,16,,,,Taiwan,,,MySQL,,,Some college/university study without earning a degree,Student,East Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,"I’m not actively looking, but I am open to new opportunities",Go;HTML/CSS;Java;JavaScript;SQL,C;C++;Python,Hadoop;Node.js;React Native;TensorFlow,Pandas,,Github,,,,,,Once every few years,Not sure,,No,,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,,Android;AWS;Docker;iOS;Linux;Microsoft Azure;Windows;WordPress,,,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Multiple times per day,Neither easy nor difficult,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",ASP.NET;jQuery;React.js,,Just as welcome now as I felt last year,,3,
53331,54422,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,52.0,13,Yearly,1400000.0,46398.0,Taiwan,New Taiwan dollar,TWD,,MySQL;SQLite,Academic researcher,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Southeast Asian,Man,Financial performance or funding status of the company or organization,Slightly satisfied,I am not interested in new job opportunities,,Python;SQL,,Keras;Node.js;Pandas;TensorFlow,,Github;Slack,No,Neutral,Critically important,Growth or leadership opportunities,Personal network - friends or family,Once every few years,No,No,No,Often: 1-2 days per week or more,,Indifferent,Stack Overflow (public Q&A for anyone who codes),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,Windows,500 to 999 employees,,Arduino;Linux,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,A few times per month or weekly,Neither easy nor difficult,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",,,Just as welcome now as I felt last year,60.0,20,3
53333,54424,I am a developer by profession,No,37.0,18,Yearly,1000000.0,33142.0,Taiwan,New Taiwan dollar,TWD,,,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Office environment or company culture;Family friendliness,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C++;Java;Python,Bash/Shell/PowerShell;Java;Python,,,,,Not sure,Neutral,Very important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Once a year,No,No,No,Sometimes: 1-2 days per month but less than weekly,,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,MacOS,"10,000 or more employees",Android;Docker,Android,I have little or no influence,Straight / Heterosexual,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,40.0,18,9
53344,54435,I am a developer by profession,Yes,48.0,17,Monthly,84500.0,33600.0,Taiwan,New Taiwan dollar,TWD,,SQLite,"Data scientist or machine learning specialist;Developer, back-end","Associate degree (A.A., A.S., etc.)",Employed full-time,East Asian,Man,Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Go;Python,C++;Go;Python,Keras;TensorFlow;Torch/PyTorch,Keras;TensorFlow;Torch/PyTorch,Jira;Github;Gitlab,Jira;Github;Gitlab,Not sure,Somewhat important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",,No,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Linux-based,500 to 999 employees,Docker;Linux,Docker;Linux,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Multiple times per day,Neither easy nor difficult,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",,,Just as welcome now as I felt last year,47.0,12,10
53357,54448,I am a developer by profession,Yes,27.0,17,Monthly,37000.0,14712.0,Taiwan,New Taiwan dollar,TWD,Firebase;Microsoft SQL Server;MySQL;Oracle,Microsoft SQL Server;MySQL;Oracle;SQLite,"Academic researcher;Developer, embedded applications or devices;Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Kotlin;Swift;TypeScript,Java;Kotlin,Flutter;Node.js;TensorFlow;Teraform;Torch/PyTorch;Xamarin,Flutter;Node.js,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",No,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,No,Yes,Occasionally: 1-2 days per quarter but less than monthly,,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,BSD,10 to 19 employees,Android;Arduino;Google Cloud Platform;Heroku;iOS;Raspberry Pi,Android;Arduino;Raspberry Pi,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;Flask;Spring,ASP.NET;ASP.NET Core,Just as welcome now as I felt last year,40.0,4,Less than 1 year
53375,54467,I am a developer by profession,No,,20,Monthly,4475.0,35880.0,Taiwan,Australian dollar,AUD,,,"Developer, back-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,,,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",,,,,,,Yes,Extremely important,Fairly important,Having a bad day (or week or month) at work;Better compensation;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",,,No,,Sometimes: 1-2 days per month but less than weekly,,,,,,20 to 99 employees,,,,,,,,,,,,"Computer science, computer engineering, or software engineering",,,,40.0,10,2
53385,54477,I am a developer by profession,Yes,23.0,9,Monthly,50000.0,19884.0,Taiwan,New Taiwan dollar,TWD,MariaDB;MySQL,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,"Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Go;HTML/CSS;JavaScript;PHP;SQL,C++;HTML/CSS;JavaScript;PHP;SQL,Node.js;React Native,Node.js,Slack;Trello,"Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Somewhat important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,Not sure,Yes,No,Never,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Annoyed,Stack Overflow (public Q&A for anyone who codes),Meditate;Play games;Visit Stack Overflow;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,100 to 499 employees,AWS;Docker;Google Cloud Platform;Microsoft Azure,AWS;Docker;Linux;Windows,I have some influence,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Less than once per month or monthly,Neither easy nor difficult,Too long,No,Mathematics or statistics,Angular.js;Laravel;React.js;Vue.js,jQuery;Laravel;Vue.js,Somewhat more welcome now than last year,40.0,14,2
53438,54531,I am a developer by profession,Yes,34.0,13,Yearly,1070000.0,35462.0,Taiwan,New Taiwan dollar,TWD,Microsoft SQL Server;Redis,Microsoft SQL Server,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Woman,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Opportunities for professional development",Slightly dissatisfied,I am actively looking for a job,C#;HTML/CSS;JavaScript;Python;SQL,C#;HTML/CSS;JavaScript;Python;SQL,.NET;.NET Core;TensorFlow,.NET;.NET Core,"Github;Gitlab;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Very important,Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies,Personal network - friends or family;Directly asking current or past employees at the company,Every few months,No,No,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,Windows,100 to 499 employees,AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;MacOS;Windows,MacOS;Windows,I have some influence,Gay or Lesbian,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core;Django;Flask;Vue.js,ASP.NET;ASP.NET Core;Flask;jQuery;Vue.js,Just as welcome now as I felt last year,50.0,18,8
53476,54569,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,,33,,,,Taiwan,New Taiwan dollar,TWD,,,Data or business analyst;Marketing or sales professional,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",East Asian,Woman,Industry that I’d be working in;Diversity of the company or organization;How widely used or impactful my work output would be,Very dissatisfied,I am not interested in new job opportunities,Python,Python,,,,,No,,Not at all important/not necessary,Wanting to share accomplishments with a wider network;Trouble with leadership at my company;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",,Not sure,Yes,Yes,Never,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,Amused,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,MacOS,2 to 9 employees,MacOS,MacOS,,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per month or weekly,Easy,Appropriate in length,No,"A business discipline (such as accounting, finance, marketing, etc.)",,,Just as welcome now as I felt last year,20.0,4,4
53482,54575,I am a developer by profession,Yes,24.0,10,Monthly,5200.0,39864.0,Taiwan,New Zealand dollar,NZD,MongoDB;PostgreSQL;Redis,PostgreSQL,"Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;JavaScript;Perl;Python;SQL,HTML/CSS;JavaScript;Perl;Python;Ruby;SQL,Ansible;Teraform,,Github;Slack;Trello;Stack Overflow for Teams,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Somewhat important,Just because;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",,Yes,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later;Visit another developer community (please name):,Linux-based,2 to 9 employees,Docker;Kubernetes;Linux,AWS;Linux,I have some influence,,Yes,"No, not at all",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"A social science (such as anthropology, psychology, political science, etc.)",Ruby on Rails;Vue.js,Ruby on Rails;Symfony;Vue.js,Just as welcome now as I felt last year,20.0,3,2
53875,54971,I am a student who is learning to code,Yes,20.0,13,,,,Taiwan,,,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,DynamoDB;Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite,"Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, mobile;Developer, QA or test;Educator;Product manager",Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",East Asian,Man,Diversity of the company or organization;Flex time or a flexible schedule;Office environment or company culture,,"I’m not actively looking, but I am open to new opportunities",C++;Java;JavaScript;Julia;Kotlin;Python;R;SQL;Swift,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift,.NET;.NET Core;Hadoop;Keras;Pandas;React Native;TensorFlow,Flutter;Keras;Pandas;TensorFlow,Github;Gitlab;Trello,Github;Gitlab;Trello,,,,,,Every few months,Not sure,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,,AWS;Docker;Google Cloud Platform;iOS;Linux;MacOS;Microsoft Azure;Windows,Android;Arduino;Docker;Google Cloud Platform;iOS;Linux;MacOS;Microsoft Azure;Windows,,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;Django;Flask;jQuery;React.js,Django;Flask;jQuery,Just as welcome now as I felt last year,,3,
54122,55223,I am a developer by profession,No,31.0,20,Yearly,1200000.0,39770.0,Taiwan,New Taiwan dollar,TWD,Firebase;MariaDB;MongoDB;MySQL;Redis;SQLite,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,"Data or business analyst;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;C++;JavaScript;Kotlin;Python;TypeScript,C;C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;R;Ruby;SQL;Swift;TypeScript,Cordova;Flutter;Keras;Node.js;TensorFlow,.NET;.NET Core;Apache Spark;Cordova;Flutter;Keras;Node.js;React Native;TensorFlow;Torch/PyTorch;Unity 3D,Github;Slack,Jira;Github;Slack;Microsoft Azure;Trello,No,Not very important,Fairly important,Wanting to share accomplishments with a wider network;Better compensation;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,No,No,No,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos,Windows,100 to 499 employees,Android;AWS;Docker;Google Cloud Platform;Linux;MacOS;Windows,Android;AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Linux;MacOS;Windows;WordPress,I have little or no influence,,Yes,"Yes, somewhat",A few times per week,A few times per week,Easy,Too long,No,"Information systems, information technology, or system administration",Django;Express;Flask;React.js;Vue.js,Angular;Angular.js;ASP.NET;ASP.NET Core;Django;Drupal;Express;Flask;jQuery;Laravel;React.js;Ruby on Rails;Spring;Symfony;Vue.js,Somewhat more welcome now than last year,60.0,10,6
54577,55687,I am a developer by profession,Yes,37.0,18,Yearly,500000.0,16571.0,Taiwan,New Taiwan dollar,TWD,Firebase;MySQL;Oracle;SQLite,Firebase;MySQL;Oracle;SQLite,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile",Some college/university study without earning a degree,Employed full-time,East Asian,Man,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Neither satisfied nor dissatisfied,I am actively looking for a job,C#;HTML/CSS;JavaScript;SQL;Swift,C#;HTML/CSS;JavaScript;SQL;Swift,.NET,.NET,Github;Gitlab;Slack;Stack Overflow for Teams,Github;Gitlab;Slack;Stack Overflow for Teams,Yes,Somewhat important,Very important,Just because;Trouble with leadership at my company;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos",Every few months,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Visit another developer community (please name):,MacOS,500 to 999 employees,iOS;Windows,AWS;iOS;Windows,I have little or no influence,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Multiple times per day,Difficult,Too long,No,"Information systems, information technology, or system administration",ASP.NET;jQuery,ASP.NET;jQuery,Just as welcome now as I felt last year,48.0,2,2
55417,56533,I am a student who is learning to code,Yes,23.0,20,,,,Taiwan,,,Elasticsearch;MariaDB;MongoDB;MySQL;Redis,MariaDB;MongoDB;MySQL,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed part-time,East Asian,Woman,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,,"I’m not actively looking, but I am open to new opportunities",Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Swift,C;JavaScript;PHP;Python;SQL,Node.js,Node.js,"Github;Slack;Google Suite (Docs, Meet, etc)","Github;Slack;Google Suite (Docs, Meet, etc)",,,,,,Once every few years,Not sure,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,,Android;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Raspberry Pi;Slack Apps and Integrations;Windows,Linux;MacOS;Slack Apps and Integrations;Windows,,Bisexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per month or weekly,Neither easy nor difficult,Too long,No,,jQuery;Laravel;Vue.js,jQuery,Just as welcome now as I felt last year,,3,
